tumor,signal,Signature_3_ml,Signature_3_c,Signature_3_l_rat,Signature_3_wl,rat_sig3,Signature_other_c4_ml,exp_sig3,total_snvs,Signature_3_c1_ml,Signature_3_c2_ml,Signature_3_c3_ml,Signature_3_c4_ml
PD24197,1,0.909022561,0.461812076,0.37794059,0.999969291,0.221683297,0.019645799,4.877032537,22,0.315726351,0.215760052,0.009771247,0.367764911
PD24199,1,0.895405862,0.438130116,0,0.000365683,0,0.005264404,0,32,0.129799462,0.475361749,1.46E-06,0.290243186
PD24204,0,0.33828644,0.194055235,0,0.059023185,0,0.113631989,0,9,0.071771181,0.140351567,0.005265999,0.120897693
PD24205,1,0.819120501,0.406591568,0.401085379,0.975858584,0.559581903,0.027869029,5.036237124,9,0.295337227,0.067638674,0.232878845,0.223265755
PD24208,0,0.00074462,0.286879366,0,0.00037657,0,1.89E-12,0,30,5.70E-12,0,0.00074462,2.64E-12
PD24212,1,0.79203672,0.223266475,0.504357728,0.963936481,0.646351936,0.04402146,5.170815488,8,0.278305107,0.241727536,0.014452354,0.257551724
PD24215,1,0.914803756,0.341301736,0,0.389963093,0,0.00780459,0,14,0.200167249,0.464724948,0.001297882,0.248613677
PD24217,0,6.53E-05,0.342307973,0,7.35E-26,0,3.13E-18,0,27,2.69E-15,0,6.53E-05,4.67E-16
PD24221,0,0.625587936,0.312303965,0.478688457,0.970930224,0.068440574,0.034885731,0.342202872,5,0.142813485,0.043091687,0.31360769,0.126075074
PD24223,0,0.344769491,0.254672933,0.507110368,0.001680525,0.055028188,0.170910207,0.440225505,8,0.0987883,0.10505113,0.008109317,0.132820743
PD24224,0,0.043027751,0.059739612,0,2.15E-13,0,0.169060697,0,5,0.007283413,0.01765035,0,0.018093988
PD24302,0,0.206223852,0.22966245,0,3.33E-05,0,0.211259524,0,8,0.041661323,0.067494439,0.009382623,0.087685467
PD24304,1,0.857769119,0.349289389,0.528771634,0.995510461,0.896265253,0.019100715,6.27385677,7,0.34536308,0.216435178,0.046132197,0.249838664
PD24308,1,0.86324018,0.299752561,0.614580117,0.999118412,0.666573277,0.013436717,6.665732768,10,0.273157442,0.402256894,0.006895424,0.180930421
PD24325,1,0.852753689,0.345358655,0.710032927,0.980857156,0.584254427,0.037236859,7.011053129,12,0.289035507,0.225748042,0.021682569,0.31628757
PD24326,0,1.04E-05,0.311704315,0,3.56E-24,0,6.12E-15,0,40,4.02E-16,0,1.04E-05,3.35E-16
PD24327,0,0.146174156,0.402930698,0.479841862,0.971649673,0.030761086,4.96E-07,0.676743895,22,9.23E-06,6.17E-09,0.146159771,5.15E-06
PD24329,0,0.042873702,0.203677202,0,5.68E-11,0,0.424344247,0,10,0.00970705,0.00825323,0.00414726,0.020766163
PD24332,0,0.497411325,0.236134111,0.470801199,0.815588909,0.1500785,0.022766875,1.050549497,7,0.120826105,0.244453499,0.003435476,0.128696245
PD24333,0,4.20E-08,0.293315854,0,5.61E-09,0,1.27E-08,0,30,6.25E-09,1.56E-09,2.84E-09,3.13E-08
PD24336,0,0.354770589,0.218732609,0,0.009432028,0,0.078390694,0,6,0.078675471,0.150056217,0.009537009,0.116501893
PD24337,1,0.439518645,0.346024891,0.493590336,1.82E-05,0.079722085,0.225298134,1.275553354,16,0.129848291,0.065639741,0.03243037,0.211600242
